beide both
AUFmachen to.open
ZUmachen to.close
AUFräumen to.clean.up
ziehen to.pull
ANziehen to.put.on(clothes)
fahren to.drive
ABfahren to.leave
EINfahren to.come.in
AUSfahren to.come.out
LOSfahren to.set.off
ZURÜCKfahren to.go.back
ABholen to.pick.up
fangen to.catch
ANfangen to.start
haben to.have
ANhaben to.wear
verstehen to.understand
vermissen to.miss
missen to.do.without
vergessen to.forget
lassen to.let
verlassen to.leave
zulassen to.allow
kommen to.come
ANkommen to.arrive
MITkommen to.come.along
ZURÜCKkommen to.come.back
VORkommen to.happen
bekommen to.get
schlafen to.sleep
EINschlafen to.fall.sleep
kaufen to.buy
EINkaufen to.shop
VERkaufen to.sell
vergleichen to.compare
ziehen to.pull
ANziehen to.put.on
stehen to.be.standing
AUFstehen to.stand.up
AUFwachen to.wake.up
sehen to.see
ANsehen to.look.at
FERNsehen to.watch.tv
AUSsehen to.look.like(aparentar)
AUFräumen to.tidy.up,to.clean.up
gehen to.go
LOSgehen to.set.off
AUSgehen to.go.out
geben to.give
ANgeben to.specify
rufen to.call(anomenar)
ANrufen to.call(phone)
tragen to.carry
EINtragen to.enter(introduir)
schreiben to.write
AUFschreiben to.write.out(release.document)
hören to.hear
AUFhören to.stop
ZUhören to.listen
hängen to.hang
AUFhängen to.hang.up
ABhängen to.depend
bereiten to.prepare
VORbereiten to.set.up,to.prepare
lessen to.read
VORlessen to.read.aloud
melden to.notify,to.report
ANmelden to.sign.in,to.register
warten to.wait
enwarten to.expect
sprechen to.speak
AUSsprechen to.pronounce
ANsprechen to.mention,to.speak.to
schauen to.watch
umschauen to.look.around
ordnen to.organize
zuordnen to.assign
prüfen to.check,to.consider
überprüfen to.check,to.verify
die.Fahrt journey
die.Fahren journeys
die.Städte cities
die.Reisen viatges
die.Sorte variety
die.StraBen streets
der.Ausweis id.card
der.Berg mountain
der.Brief letter
der.Fehler error
der.Kunde customer
die.Kunden customers
der.Pass passport
der.Stern star
die.Sterne stars
der.Tanz dance
der.Verkehr traffic
das.Geschäft bussiness
die.Geschäfte shops
das.Land country
das.Meer sea
die.Ohren ears
das.Schild sign
die.Angestellte employee
der.Rechtsanwalt lawyer
die.Jahreszeit season
die.Stunde hour
die.Stunden hours
der.Frühling spring
der.Herbst autumn
das.Bad bath
die.Bäder baths
antworten to.answer
baden to.swim
bauen to.build
bedeuten to.mean(deuten=interpret)
besuchen to.visit
feiern to.celebrate
heiraten to.marry
lächeln to.smile
lachen to.laugh
liegen to.lie(estirar.se)
losfahren to.drive.off
lügen to.lie(mentir)
rauchen to.smoke
reiten horseriding
schlagen to.hit
stören to.disturb
tun to.do
verdienen to.earn
wählen to.choose
wandern to.hike
weiterfahren to.carry.on.driving
weitersuchen to.keep.looking
werden WILL
werfen to.throw
zeichnen to.draw
werde.gern would.like.to
leer empty
ruhig silent/still
sauber clean
verschieden different
wichtig important
normalerweise usually
überall everywhere
gestern yesterday
vorgestern day.before.yesterday
übermorgen the.day.after.tomorrow
nie never
selten rarely
wieder again
belegen to.occupy
treffen to.meet
die.Unterricht lessons
die.Ausdrücke expressions
die.Kunden costumers
die.beiden the.two
nehmen to.take
wenig little
wohnen to.live(city)
leben to.live(country)
mögen to.like
geben to.give
kennen to.know
guken to.look
schauen to.watch
schmecken to.taste
waschen to.wash(banyar)
schneiden to.cut
spülen to.do.the.washing.up
putzen to.brush
sauber to.clean
braten to.fry
treiben to.practise.sport
weinen to.cry
treffen to.meet
trennen to.separate
tragen to.carry,to.wear
wollen to.want
schon already
die.Tafel blackboard
das.Wohnzimmer living.room
der.Schinken ham
früh early
die.Küche kitchen
decken to.cover(table)
die.Sinne senses
die.Zunge tongue
riechen to.smell
tasten to.feel(contact)
bleiben to.stay
antworten to.answer
nennen to.call(anomenar)
regen to.rain
spaB.machen to.have.fun
heiBen to.mean
bedauten to.mean
wählen to.elect,to.vote,to.choose
zeigen to.show
kämmen to.comb
werfen to.throw
zeichnen to.draw
malen to.paint
rechnen to.calculate
reiten horseriding
spazieren to.walk
wandern to.hike
rauchen to.smoke
empfehlen to.recommend
folguen to.follow
denken to.think
bauen to.build
lügen to.lie
ordnen to.organize
lachen to.laugh
baden to.bath
heiraten to.get.married
stören to.annoy
schlagen to.hit
bieten to.offer
zahl number(nombre)
nummer number(numero)
alles everything
der.Körper body
der.Ort place
der.Grund reason
der.Traum dream
dass that(subordinada)
die.Gewohnheit habit
Ändern change
die.Geschichte story
die.Stimme voice
einige some
lachten to.laugh
der.Rechtsanwalt lawyer
zeichnen to.draw
die.Zeichnung drawing
sauber clean
wählen to.choose,to.vote
erlaubt allowed
die.Schlange snake
der.Affe monkey
die.Kuh cow
täglich daily
bekannt known
der.Eintritt entry
besonders specially
die.meisten the.most
manche some
der.Adler eagle
noch still
ah.so ok
dafur for.this
in.ordnung ok
das.heiBt that.is
gerne with.pleasure
dorfich
wurden____? should____?
die.Schilden the.signs
schmeiBen to.throw
einige some,several
noch.eine another
darunter below
darüber above
laufen to.run
eigentlich actually
schau.mal! look!
zeig.mal! show.me!
auBerdem also
dort there
damit in.order.to
doch but
überall everywhere
zeigen to.show
schneiden to.cut
der.Pilz mushroom
auf on
schreien to.scream
jagen to.hunt
der.Unterricht lesson
dafür for.this
schau.mal! look!
um round,at(time)
gegen against,around(time)
durch across,through
das.Geschenk gift
das.Lied song
die.Verspätung delay
zufrieden satisfied
früh early
satt full,fed.up
wenig little
weit far
besetzt taken,occupied,busy
ja,das.geht! that's.fine
ja,gern! sure
kommst.du.mit? are.you.in?
wir.sehen.uns! see.you
wieder again
der.Spaziergang the.walk
stundenlang for.hours
gefallen to.please
schenken to.give.a.present
zuschauen spectator
schicken to.send
schenken to.give.a.present
erklären to.explain
wünschen to.wish
vorwärts forward
ab.und.zu from.time.to.time
Weihnachten christmas
der.Korb basket
der.Becher cup
die.Dose can,tin
das.Putenfleisch turkey.meat
das.Schweinefleisch pork
das.Rindfleisch beef
andere other
eine.andere another
noch.einmal once.more
kennenlernen to.get.to.know
sehen to.see
AN.sehen to.look.at
finden to.find
befinden to.be.located
STATTfinden to.take.place
wahren to.keep(mantain)
bewahren to.keep(save)
drücken to.press,to.push
AUSdrücken  to.express
kommen to.come
bekommen to.get
stehen to.stand
verstehen to.understand
kaufen to.buy
EINkaufen to.shop
bezahlen to.pay
zählen to.count
erzählen to.tell
kaufen to.buy
verkaufen to.sell
sitzen to.sit
besetzen to.occupy
ersetzen to.replace
ubersetzen to.translate
laufen to.run
nutzen to.use(ideas)
benutzen to.use(objects)
suchen to.search
besuchen to.visit
versuchen to.try
verboten to.forbid
lassen to.let
verlassen to.leave,to.abandon
verbessern to.improve
legen to.lay
belegen to.occupy
LOSfahren to.set.off
sehen to.see
versehen to.provide,to.supply
schieden to.separate
verschieden different
gehen to.go
AUSgehen to.go.out
AUSleihen to.borrow
